order_no,time_type,order_state,receive_type,approve_date,created_at,driver_id,delivery_date,latest_delivery_date,accept_date,pickup_date,pass_date,local_area_flag
VR860F,1,4,2,2022/12/4 4:48,2022/12/4 4:48,57175,2022/12/4 5:16,2022/12/4 5:46,2022/12/4 4:58,2022/12/4 5:06,2022/12/4 5:17,0
VL654O,1,4,2,2022/12/4 4:53,2022/12/4 4:53,57175,2022/12/4 5:30,2022/12/4 6:00,2022/12/4 5:17,2022/12/4 5:22,2022/12/4 5:28,0
YF145F,1,4,2,2022/12/4 5:11,2022/12/4 5:04,72261,2022/12/4 5:37,2022/12/4 6:07,2022/12/4 5:13,2022/12/4 5:18,2022/12/4 5:25,0
QA921F,1,4,2,2022/12/4 5:09,2022/12/4 5:09,35316,2022/12/4 5:37,2022/12/4 6:07,2022/12/4 5:18,2022/12/4 5:29,2022/12/4 5:35,0
PC816B,1,4,2,2022/12/4 5:10,2022/12/4 5:09,570,2022/12/4 6:17,2022/12/4 6:47,2022/12/4 5:40,2022/12/4 5:57,2022/12/4 6:29,0
TN590N,1,4,2,2022/12/4 5:14,2022/12/4 5:11,65032,2022/12/4 5:34,2022/12/4 6:04,2022/12/4 5:15,2022/12/4 5:18,2022/12/4 5:27,0
TB931B,1,4,2,2022/12/4 5:13,2022/12/4 5:13,31971,2022/12/4 6:00,2022/12/4 6:30,2022/12/4 5:26,2022/12/4 5:32,2022/12/4 5:45,0
LE125J,1,4,2,2022/12/4 5:17,2022/12/4 5:16,72261,2022/12/4 5:56,2022/12/4 6:26,2022/12/4 5:27,2022/12/4 5:40,2022/12/4 5:54,0
BL678N,1,4,2,2022/12/4 5:26,2022/12/4 5:23,13870,2022/12/4 5:41,2022/12/4 6:11,2022/12/4 5:27,2022/12/4 5:36,2022/12/4 5:44,0
DC328L,1,4,2,2022/12/4 5:32,2022/12/4 5:30,62064,2022/12/4 5:53,2022/12/4 6:23,2022/12/4 5:36,2022/12/4 5:43,2022/12/4 5:49,0
ED326O,1,4,2,2022/12/4 5:38,2022/12/4 5:32,65032,2022/12/4 6:05,2022/12/4 6:35,2022/12/4 6:14,2022/12/4 6:19,2022/12/4 6:29,0
TI903J,1,4,2,2022/12/4 5:36,2022/12/4 5:33,65032,2022/12/4 6:05,2022/12/4 6:35,2022/12/4 5:55,2022/12/4 6:04,2022/12/4 6:14,0
ZC210O,1,3,2,,2022/12/4 5:33,0,2022/12/4 6:01,2022/12/4 6:31,,,,0
LS165F,1,4,2,2022/12/4 5:40,2022/12/4 5:40,2165,2022/12/4 6:13,2022/12/4 6:43,2022/12/4 5:49,2022/12/4 5:58,2022/12/4 6:07,0
NO783I,1,4,2,2022/12/4 6:03,2022/12/4 6:03,72261,2022/12/4 6:21,2022/12/4 6:51,2022/12/4 6:04,2022/12/4 6:12,2022/12/4 6:18,0
RP907T,2,4,2,2022/12/5 11:11,2022/12/4 6:06,74503,2022/12/5 12:45,2022/12/5 12:45,2022/12/5 11:12,2022/12/5 11:14,2022/12/5 12:20,0
